Constituency,Year,TimesNowVMR,IndiatodayAxis,CountDifference,propBJP,BJP
Abhayapuri North,2006,11,18,5,1,1
Abhayapuri North,2011,21,25,5,1,1
Abhayapuri South (sc),2006,,,1,1,1
Abhayapuri South (sc),2011,16,,6,1,1
Algapur,2006,5,15,8,1,1
Algapur,2011,5,,9,1,1
Algapur,2016,8,,4,0.833333333,1
Amguri,2006,1,5,8,1,1
Amguri,2011,6,,5,1,1
Amguri,2016,,,2,1,1
Badarpur,2006,14,-11,-8,0,0
Badarpur,2011,14,-24,-5,0,0
Badarpur,2016,4,-14,-6,0,0
Baghbar,2006,0,3,9,1,1
Baghbar,2011,0,,-15,0,0
Baghbar,2016,34,-2,-5,0.307692308,0
Baithalangso,2006,31,,-3,0,0
Baithalangso,2011,,-16,-4,0,0
Baithalangso,2016,-8,-13,-8,0,0
Barama (st),2006,-12,,-2,0,0
Barama (st),2011,,-30,-4,0,0
Barama (st),2006,-2,1,0,0.5,1
Barchalla,2011,-6,-3,-13,0.157894737,0
Barchalla,2016,-5,0,6,0.666666667,0
Barchalla,2006,,12,4,1,1
Barhampur,2011,-19,7,9,1,1
Barhampur,2016,,8,4,1,1
Barhampur,2006,,,2,0.75,0
Barkhetry,2011,11,,-1,0,0
Barkhetry,2016,,,-2,0,0
Barkhetry,2006,10,,1,1,1
Barkhola,2011,9,,1,1,1
Barkhola,2016,,,1,1,1
Barkhola,2006,6,-12,-5,0,0
Barpeta,2011,12,,-5,0,0
Barpeta,2016,,,-5,0,0
Barpeta,2006,,19,3,1,1
Batadroba,2011,10,0,2,0.625,0
Batadroba,2016,,,3,1,1
Batadroba,2006,,-3,5,0.666666667,1
Behali,2011,32,-15,-8,0,0
Behali,2016,,,-2,0.4,0
Behali,2006,,23,3,1,1
Bhabanipur,2011,-24,21,2,1,1
Bhabanipur,2016,6,9,1,1,1
Bhabanipur,2006,-4,21,3,1,1
Bihpuria,2011,2,16,5,1,1
Bihpuria,2016,-8,14,1,1,1
Bihpuria,2006,-11,,5,1,1
Bijni,2011,-13,,2,1,1
Bijni,2016,6,,2,1,1
Bijni,2006,9,-8,-6,0,0
Bilasipara East,2011,,-15,-6,0,0
Bilasipara East,2016,-1,,-6,0,0
Bilasipara East,2006,-7,-11,-6,0,0
Bilasipara West,2011,0,,-1,0,0
Bilasipara West,2016,,,-4,0,0
Bilasipara West,2006,19,,-2,0,0
Biswanath,2011,-28,-17,-4,0,0
Biswanath,2016,-19,,-8,0,0
Biswanath,2006,,,-2,0,0
Bokajan,2011,-10,,-11,0.133333333,0
Bokajan,2016,-5,,-10,0.083333333,0
Bokajan,2006,-1,,-7,0.181818182,0
Bokakhat,2011,-12,-3,-14,0,0
Bokakhat,2016,-5,-11,-5,0.142857143,0
Bokakhat,2006,,,1,1,1
Boko (sc),2011,8,,4,1,1
Boko (sc),2016,,,1,1,1
Boko (sc),2006,5,5,8,1,1
Bongaigaon,2011,0,0,4,0.833333333,1
Bongaigaon,2016,11,7,8,1,1
Bongaigaon,2006,,,3,1,1
Chabua,2011,4,,4,0.75,1
Chabua,2016,10,,5,1,1
Chabua,2006,,,2,1,1
Chapaguri(st),2011,19,,1,1,1
Chapaguri(st),2016,,,2,1,1
Chapaguri(st),2006,2,8,9,1,1
Chaygaon,2011,-4,,-9,0.090909091,0
Chaygaon,2016,-2,-4,-10,0,0
Chaygaon,2006,-2,,-5,0.222222222,0
Chenga,2011,-7,-11,-14,0,0
Chenga,2016,-2,,-8,0,0
Chenga,2006,-12,-12,-8,0,0
Dalgaon,2011,-15,-10,-9,0,0
Dalgaon,2016,,-14,-9,0,0
Dalgaon,2006,4,,2,0.625,1
Dergaon(sc),2011,-10,-7,-6,0,0
Dergaon(sc),2016,-11,,-5,0,0
Dergaon(sc),2006,-5,-18,-6,0,0
Dhakuakhana(st),2011,-20,-33,-5,0,0
Dhakuakhana(st),2016,,-29,-5,0,0
Dhakuakhana(st),2006,12,8,7,1,1
Dharmapur,2011,1,1,-5,0.333333333,0
Dharmapur,2016,6,5,3,0.666666667,1
Dharmapur,2006,,,2,1,1
Dhekiajuli,2011,14,,0,0.5,1
Dhekiajuli,2016,14,,4,1,1
Dhekiajuli,2006,4,2,3,0.6,1
Dhemaji(st),2011,0,-2,-16,0.1,0
Dhemaji(st),2016,0,-5,-16,0,0
Dhemaji(st),2006,34,30,4,1,1
Dhing,2011,31,24,2,1,1
Dhing,2016,,,1,1,1
Dhing,2006,-8,-3,-8,0.1,0
Dholai,2011,-12,-19,-9,0,0
Dholai,2016,,-7,-4,0,0
Dholai,2006,-2,-1,-12,0.125,0
Dhubri,2011,-6,-9,-19,0,0
Dhubri,2016,-5,0,-13,0,0
Dhubri,2006,,-13,-2,0,0
Dibrugarh,2011,-19,,-1,0,0
Dibrugarh,2016,,,-2,0,0
Dibrugarh,2006,,18,4,1,1
Digboi,2011,11,8,5,1,1
Digboi,2016,,,1,1,1
Digboi,2006,10,,4,1,1
Diphu,2011,9,,4,1,1
Diphu,2016,,,1,1,1
Diphu,2006,6,18,7,1,1
Dispur,2011,12,,5,1,1
Dispur,2016,,,1,1,1
Dispur,2006,,22,2,1,1
Doom Dooma,2011,10,,5,1,1
Doom Dooma,2016,,,4,1,1
Doom Dooma,2006,,,3,1,1
Dudhnai (st),2011,32,,3,1,1
Dudhnai (st),2016,,,1,1,1
Dudhnai (st),2006,,,-2,0,0
Duliajan,2011,-24,,-2,0,0
Duliajan,2006,6,4,5,1,1
Duliajan,2011,-4,-4,-18,0,0
Gauhati East,2016,2,,-4,0.333333333,0
Gauhati East,2006,-8,-4,-10,0,0
Gauhati East,2011,-11,-16,-6,0,0
Gauhati West,2016,-13,-14,-8,0,0
Gauhati West,2006,6,,6,1,1
Gauhati West,2011,9,,11,1,1
Gauripur,2016,,,1,1,1
Gauripur,2006,-1,,1,0.533333333,0
Gauripur,2011,-7,-16,-12,0,0
Goalpara East,2016,0,,-8,0,0
Goalpara East,2006,,,1,1,1
Goalpara East,2011,19,21,3,1,1
Goalpara West,2006,11,21,1,0,1
Goalpara West,2011,,9,2,0,1
Goalpara West,2016,4,21,5,1,1
Gohpur,2006,10,16,4,0.625,1
Gohpur,2011,,14,3,1,1
Gohpur,2016,19,,3,0.666666667,1
Golaghat,2006,,,1,0,1
Golaghat,2011,2,,-2,0.4,1
Golaghat,2016,-4,-8,-2,1,0
Golakganj,2006,-2,-15,5,1,0
Golakganj,2011,-2,,-18,1,1
Golakganj,2016,-7,-11,-4,1,0
Gossaigaon Kokrajhar West,2006,-2,,-10,1,0
Gossaigaon Kokrajhar West,2011,-12,,-6,1,0
Gossaigaon Kokrajhar West,2016,-15,,-8,1,0
Haflong,2006,,-17,6,1,0
Haflong,2011,4,-3,11,1,1
Haflong,2006,-10,-11,1,0,1
Hailakandi,2011,-11,,1,0,1
Hailakandi,2016,-5,,-12,0,0
Hailakandi,2006,-20,,-8,0,0
Hajo,2011,,5,1,0,0
Hajo,2016,12,0,3,0,1
Hajo,2006,1,7,8,0,1
Hojai,2011,6,,9,0,0
Hojai,2016,,,4,0,0
Hojai,2006,14,,8,0,0
Howraghat,2011,14,,5,0.133333333,0
Howraghat,2016,4,,2,0.083333333,0
